2021-08-03 12:53:00,052 [INFO] | 0.9994443494614464
2021-08-03 12:53:00,059 [INFO] | 0.9996394837407167
2021-08-03 12:53:00,138 [INFO] | 0.9993732372297086
2021-08-03 12:53:00,144 [INFO] | 0.9993732372297086
2021-08-03 12:53:00,149 [INFO] | 0.9998815241439277
2021-08-03 12:53:00,156 [INFO] | 0.9993732372297086
2021-08-03 12:53:00,166 [INFO] | 0.9999109073928432
2021-08-03 12:53:00,179 [INFO] | 0.9998678971686984
2021-08-03 12:53:00,190 [INFO] | 0.9998623425104993
2021-08-03 12:53:00,215 [INFO] | 0.9994655808627052
2021-08-03 12:53:00,226 [INFO] | 0.999751673675362
2021-08-03 12:53:00,335 [INFO] | 0.9995879300979602
2021-08-03 12:53:00,344 [INFO] | 0.9995879300979602
2021-08-03 12:53:00,356 [INFO] | 0.9995879300979602
2021-08-03 12:53:00,366 [INFO] | 0.9995130447811511
2021-08-03 12:53:00,378 [INFO] | 0.9994381706837462
2021-08-03 12:53:00,388 [INFO] | 0.9993633078032246
2021-08-03 12:53:00,410 [INFO] | 0.9998689163124287
2021-08-03 12:53:00,658 [INFO] | 0.9998127481087561
2021-08-03 12:53:00,671 [INFO] | 0.9997378669862194
2021-08-03 12:53:00,683 [INFO] | 0.9996817135047088
2021-08-03 12:53:00,692 [INFO] | 0.9996068520078631
2021-08-03 12:53:00,702 [INFO] | 0.9995320017222337
2021-08-03 12:53:00,722 [INFO] | 0.9994571626453026
2021-08-03 12:53:00,729 [INFO] | 0.9993823347745523
2021-08-03 12:53:00,823 [INFO] | 0.9994585814834869
2021-08-03 12:53:00,849 [INFO] | 0.9996389891696752
2021-08-03 12:54:30,014 [ERROR] | Error while making GET request to /fapi/v1/account : (401) {'code': -2014, 'msg': 'API-key format invalid.'}
2021-08-03 12:54:30,016 [INFO] | Binance Futures Client successfully initialized
2021-08-03 12:54:30,275 [INFO] | websocket opened
2021-08-03 12:54:30,541 [INFO] | {'bid': 534.13, 'ask': 534.14}
2021-08-03 12:54:30,804 [INFO] | {'bid': 110.91, 'ask': 110.96}
